RecipeId,Name,RecipeIngredientParts,RecipeInstructions,Images
38.0,Low-Fat Berry Blue Frozen Dessert,"['blueberries', 'granulated sugar', 'vanilla yogurt', 'lemon juice']","1. Toss 2 cups berries with sugar.
2. Let stand for 45 minutes, stirring occasionally.
3. Transfer berry-sugar mixture to food processor.
4. Add yogurt and process until smooth.
5. Strain through fine sieve. Pour into baking pan (or transfer to ice cream maker and process according to manufacturers
6. ,
7. ,
8. ,
9. ,","https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/38/YUeirxMLQaeE1h3v3qnM_229%20berry%20blue%20frzn%20dess.jpg"
39.0,Biryani,"['saffron', 'milk', 'hot green chili peppers', 'onions', 'garlic', 'clove', 'peppercorns', 'cardamom seed', 'cumin seed', 'poppy seed', 'mace', 'cilantro', 'mint leaf', 'fresh lemon juice', 'plain yogurt', 'boneless chicken', 'salt', 'ghee', 'onion', 'tomatoes', 'basmati rice', 'long-grain rice', 'raisins', 'cashews', 'eggs']","1. Soak saffron in warm milk for 5 minutes and puree in blender.
2. Add chiles, onions, ginger, garlic, cloves, peppercorns, cardamom seeds, cinnamon, coriander and cumin seeds, poppy seeds, nutmeg, mace, cilantro or mint leaves and lemon juice. Blend into smooth paste. Put paste into large bowl, add yogurt and mix well.
3. Marinate chicken in yogurt mixture with salt, covered for at least 2 - 6 hours in refrigerator.
4. In skillet. heat oil over medium heat for 1 minute. Add ghee and 15 seconds later add onion and fry for about8 minutes.
5. Reserve for garnish.
6. In same skillet, cook chicken with its marinade with tomatoes for about 10 minutes over medium heat, uncovered.
7. Remove chicken pieces from the sauce and set aside. Add rice to sauce, bring to boil, and cook, covered over low heat for 15 minutes.
8. Return chicken and add raisins, cashews and almonds; mix well.
9. Simmer, covered for 5 minutes.
10. Place chicken, eggs and rice in large serving dish in such a way that yellow of the eggs, the saffron-colored rice, the nuts and the chicken make a colorful display.
11. Add reserved onion as garnish.","https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/39/picM9Mhnw.jpg"
40.0,Best Lemonade,"['sugar', 'lemons, rind of', 'lemon, zest of', 'fresh water', 'fresh lemon juice']","1. Into a 1 quart Jar with tight fitting lid, put sugar and lemon peel, or zest; add 1 1/2 cups very hot water (not from tap!). With lid fitted firmly, shake jar until sugar is dissolved.
2. Add lemon juice. Refrigerate until chilled.
3. To Serve: Into each 12-ounce glass, over ice cubes, pour 1/4 cup of the lemon syrup.
4. Then add chilled club soda or, if you prefer, water.
5. Stir to mix well.","https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/40/picJ4Sz3N.jpg"
41.0,Carina's Tofu-Vegetable Kebabs,"['extra firm tofu', 'eggplant', 'zucchini', 'mushrooms', 'soy sauce', 'low sodium soy sauce', 'olive oil', 'maple syrup', 'honey', 'red wine vinegar', 'lemon juice', 'garlic cloves', 'mustard powder', 'black pepper']","1. Drain the tofu, carefully squeezing out excess water, and pat dry with paper towels.
2. Cut tofu into one-inch squares.
3. Set aside. Cut eggplant lengthwise in half, then cut each half into approximately three strips.
4. Cut strips crosswise into one-inch cubes.
5. Slice zucchini into half-inch thick slices.
6. Cut red pepper in half, removing stem and seeds, and cut each half into one-inch squares.
7. Wipe mushrooms clean with a moist paper towel and remove stems.
8. Thread tofu and vegetables on to barbecue skewers in alternating color combinations: For example, first a piece of eggplant, then a slice of tofu, then zucchini, then red pepper, baby corn and mushrooms.
9. Continue in this way until all skewers are full.
10. Make the marinade by putting all ingredients in a blender, and blend on high speed for about one minute until mixed.
11. Alternatively, put all ingredients in a glass jar, cover tightly with the lid and shake well until mixed.
12. Lay the kebabs in a long, shallow baking pan or on a non-metal tray, making sure they lie flat. Evenly pour the marinade over the kebabs, turning them once so that the tofu and vegetables are coated.
13. Refrigerate the kebabs for three to eight hours, occasionally spooning the marinade over them.
14. Broil or grill the kebabs at 450 F for 15-20 minutes, or on the grill, until the vegetables are browned.
15. Suggestions This meal can be served over cooked, brown rice. Amounts can easily be doubled to make four servings.","https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/41/picmbLig8.jpg"
42.0,Cabbage Soup,"['plain tomato juice', 'cabbage', 'onion', 'carrots', 'celery']","1. Mix everything together and bring to a boil.
2. Reduce heat and simmer for 30 minutes (longer if you prefer your veggies to be soft).
3. Refrigerate until cool.
4. Serve chilled with sour cream.","https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/42/picVEMxk8.jpg"
43.0,Best Blackbottom Pie,"['graham cracker crumbs', 'sugar', 'butter', 'sugar', 'cornstarch', 'salt', 'milk', 'vanilla extract', 'water', 'gelatin', 'rum', 'cream of tartar', 'sugar']","1. Graham Cracker Crust: In small bowl, combine graham cracker crumbs, sugar and butter. Press evenly on bottom and sides of 9-inch pie plate. Chill until firm (about 1 hour).
2. Chocolate Layer: In medium saucepan, combine sugar, cornstarch and salt. Gradually stir in milk. Cook over medium heat, stirring constantly, until mixture boils. Remove from heat. In small bowl, beat egg yolks. Gradually stir in small amount of hot mixture; return to saucepan. Cook over low heat, stirring constantly, for 2 minutes. Remove from heat.
3. Remove 1-1/2 cups custard to medium bowl; add semi-sweet chocolate morsels and vanilla extract. Stir until morsels are melted and mixture is smooth.
4. Pour into prepared Graham Cracker Crust; chill until set (about 30 minutes).
5. While Chocolate Layer is chilling, prepare Vanilla Layer.
6. Vanilla Layer: In large bowl, combine cold water and gelatin; let stand 5 minutes. Add remaining warm custard; stir until gelatin dissolves. Cool 15 minutes. Stir in rum; beat with wire whisk until smooth. Set aside.
7. In 1-1/2 quart bowl, combine egg whites and cream of tartar; beat until foamy. Gradually add sugar; beat until stiff peaks form. Fold egg whites into custard; pour over chocolate layer.
8. Chill until set (about 2 hours).
9. Garnish with whipped cream and chocolate shavings, if desired.
10. Makes one 9-inch pie.",
44.0,Warm Chicken A La King,"['chicken', 'butter', 'flour', 'milk', 'celery', 'button mushrooms', 'green pepper', 'canned pimiento', 'salt', 'black pepper', 'worcestershire sauce', 'parsley']","1. Melt 1 1/2 ozs butter, add the flour and cook for 2 to 3 minutes, stirring.
2. Gradually add milk and cook, stirring, until thick and smooth.
3. Melt the remaining butter and saute sliced celery, button mushrooms and chopped pepper until soft but not coloured.
4. Add celery, mushrooms, pepper, chicken and pimiento to the sauce and heat through.
5. Season to taste. Combine the egg yolks, double cream and Worcestershire sauce. Add to the chicken mixture and heat through.
6. Transfer to a serving dish and sprinkle with chopped parsley.","https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/44/picsSKvFd.jpg"
45.0,Buttermilk Pie With Gingersnap Crumb Crust,"['sugar', 'margarine', 'egg', 'flour', 'salt', 'buttermilk', 'graham cracker crumbs', 'margarine']","1. Preheat oven to 350°F.
2. Make pie crust, using 8 inch pie pan, do not bake.
3. Mix sugar and margarine in medium bowl until blended; beat in egg whites and egg.
4. Stir in flour, salt, and buttermilk until well blended.
5. Pour filling into prepared crust, bake 40 minutes or until sharp knife inserted near center comes out clean.
6. Sprinkle with nutmeg and serve warm or chilled.
7. Combine graham crumbs, gingersnap crumbs, and margarine in 8 or 9 inch pie pan, pat mixture evenly on bottom and side of pan.
8. Bake 8 to 10 minutes or until edge of crust is lightly browned.
9. Cool on wire rack.","https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/45/pic79tPh5.jpg"
46.0,A Jad - Cucumber Pickle,"['rice vinegar', 'haeo']","1. Slice the cucumber in four lengthwise, then slice the pieces to segments about an eighth of an inch thick.
2. Slice the tops of the chilies (green ones can be used if red are not available, but Thais like the color contrast), tap out any loose seeds and discard, then slice the chilies across into thin rounds.
3. Slice the shallots and water chestnuts.
4. Combine and serve. This will keep 2 or 3 weeks in a refrigerator.",
47.0,Butter Pecan Cookies,"['butter', 'brown sugar', 'granulated sugar', 'vanilla extract', 'flour', 'pecan halves']","1. Preheat oven to 350 degrees.
2. Cream butter in large mixing bowl.
3. Gradually add brown sugar and granulated sugar.
4. Cream well.
5. Add unbeaten egg yolk and vanilla and beat well.
6. Blend in sifted flour to form a stiff dough.
7. Shape dough into small balls.
8. Place on greased cookie sheet. Flatten cookies with bottom of glass dipped in sugar.
9. Bake at 350 degrees for 7-9 minutes, till golden brown (do not overbrown.) Cool before frosting.
10. Garnish with pecan halves.","https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/47/picfnmxck.jpg"
